"filename,CASS_planar_grid_B2_3_Casseg_MF"
"frecuencia,91.0"
"xmin,-100"
"xmax,100,"
"ymin,-100"
"ymax,100"
"nfilas,201"
"ncolumnas,201"
""
ajuste gaussiano
"amp,1.014853519690145"
"x_off,-0.03301023151927242"
"y_off,0.3373903388736564"
"waistx_expected,19.733959091070457"
"waisty_expected,19.733959091070457"
"waistx_fit,20.763771597078104"
"waisty_fit,20.619518129766487"
""
"elipcicity,-0.006995966947616061"
"gaussicity,0.9969429507513352"
"beam_coupling,0.9945196956796651"
